a52dec 0.8.0-2
kcharselect 24.08.1-1
kclock 24.08.1-1
kcmutils 6.6.0-1
kcmutils5 5.116.0-1
kcodecs 6.6.0-1
kcodecs5 5.116.0-1
kcolorchooser 24.08.1-1
kcolorpicker 0.3.1-4
kcolorscheme 6.6.0-1
kcompletion 6.6.0-1
kcompletion5 5.116.0-1
kconfig 6.6.0-1
kconfig5 5.116.0-1
kconfigwidgets 6.6.0-1
kconfigwidgets5 5.116.0-1
kcontacts 1:6.6.0-1
kcoreaddons 6.6.0-1
kcoreaddons5 5.116.0-1
kcrash 6.6.0-1
kcrash5 5.116.0-1
kcron 24.08.1-1
kdav 1:6.6.0-1
kdbusaddons 6.6.0-1
kdbusaddons5 5.116.0-1
kde-cli-tools 6.1.5-1
kde-dev-scripts 24.08.1-1
kde-dev-utils 24.08.1-1
kde-gtk-config 6.1.5-1
kde-inotify-survey 24.08.1-1
kdebugsettings 24.08.1-1
kdeclarative 6.6.0-1
kdeclarative5 5.116.0-1
kdeconnect 24.08.1-1
kdecoration 6.1.5-1
kded 6.6.0-1
kded5 5.116.0-1
kdeedu-data 24.08.1-1
kdegraphics-mobipocket 24.08.1-1
kdegraphics-thumbnailers 24.08.1-1
kdenetwork-filesharing 24.08.1-1
kdenlive 24.08.1-1
kdepim-addons 24.08.1-1
kdepim-runtime 24.08.1-1
kdeplasma-addons 6.1.5-1
kdesdk-kio 24.08.1-1
kdesdk-thumbnailers 24.08.1-1
kdesu 6.6.0-1
kdesu5 5.116.0-1
kdevelop 24.08.1-1
kdevelop-php 24.08.1-1
kdevelop-python 24.08.1-1
kdf 24.08.1-1
kdiagram 3.0.1-3
kdialog 24.08.1-1
kdiamond 24.08.1-1
kdnssd 6.6.0-1
kdnssd5 5.116.0-1
kdoctools 6.6.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-1
keditbookmarks 24.08.1-1
keysmith 24.08.1-1
keyutils 1.6.3-3
kfilemetadata 6.6.0-1
kfilemetadata5 5.116.0-2
kfind 24.08.1-1
kfourinline 24.08.1-1
kgamma 6.1.5-1
kgeography 24.08.1-1
kget 24.08.1-1
kglobalaccel 6.6.0-1
kglobalaccel5 5.116.0-1
kglobalacceld 6.1.5-1
kgoldrunner 24.08.1-1
kgpg 24.08.1-1
kguiaddons 6.6.0-1
kguiaddons5 5.116.0-1
khangman 24.08.1-1
khealthcertificate 24.08.1-1
khelpcenter 24.08.1-1
kholidays 1:6.6.0-1
ki18n 6.6.0-1
ki18n5 5.116.0-1
kiconthemes 6.6.0-1
kiconthemes5 5.116.0-1
kidentitymanagement 24.08.1-1
kidletime 6.6.0-1
kig 24.08.1-1
kigo 24.08.1-1
killbots 24.08.1-1
kimageannotator 0.7.1-3
kimagemapeditor 24.08.1-1
kimap 24.08.1-1
kinfocenter 6.1.5-1
kinit 5.116.0-1
kio 6.6.0-1
kio-admin 24.08.1-1
kio-extras 24.08.1-1
kio-fuse 5.1.0-3
kio-gdrive 24.08.1-1
kio-zeroconf 24.08.1-1
kio5 5.116.0-1
kirigami 6.6.0-1
kirigami-addons 1.4.0-1
kirigami-gallery 24.08.1-1
kirigami2 5.116.0-1
kiriki 24.08.1-1
kitemmodels 6.6.0-1
kitemmodels5 5.116.0-1
kitemviews 6.6.0-1
kitemviews5 5.116.0-1
kiten 24.08.1-1
kitinerary 24.08.1-1
kitty 0.36.2-1
kitty-shell-integration 0.36.2-1
kitty-terminfo 0.36.2-1
kjobwidgets 6.6.0-1
kjobwidgets5 5.116.0-1
kjournald 24.08.1-1
kjumpingcube 24.08.1-1
kldap 24.08.1-1
kleopatra 24.08.1-1
klettres 24.08.1-1
klickety 24.08.1-1
klines 24.08.1-1
kmag 24.08.1-1
kmahjongg 24.08.1-1
kmail 24.08.1-1
kmail-account-wizard 24.08.1-1
kmailtransport 24.08.1-1
kmbox 24.08.1-1
kmenuedit 6.1.5-1
kmime 24.08.1-1
kmines 24.08.1-1
kmix 24.08.1-1
kmod 33-3
kmousetool 24.08.1-1
kmouth 24.08.1-1
kmplot 24.08.1-1
knavalbattle 24.08.1-1
knetwalk 24.08.1-1
knewstuff 6.6.0-1
knewstuff5 5.116.0-1
knights 24.08.1-1
knotes 24.05.2-1
knotifications 6.6.0-1
knotifications5 5.116.0-1
knotifyconfig 6.6.0-1
knotifyconfig5 5.116.0-1
koko 24.08.1-1
kolf 24.08.1-1
kollision 24.08.1-1
kolourpaint 24.08.1-1
kompare 24.08.1-1
kongress 24.08.1-1
konqueror 24.08.1-1
konquest 24.08.1-1
konsole 24.08.1-1
kontact 24.08.1-1
kontactinterface 24.08.1-1
kontrast 24.08.1-1
konversation 24.08.1-1
kopeninghours 24.08.1-1
korganizer 24.08.1-1
kosmindoormap 24.08.1-3
kpackage 6.6.0-1
kpackage5 5.116.0-1
kparts 6.6.0-1
kparts5 5.116.0-1
kpat 24.08.1-1
kpeople 6.6.0-1
kpimtextedit 24.08.1-1
kpipewire 6.1.5-1
kpkpass 24.08.1-1
kplotting 6.6.0-1
kplotting5 5.116.0-1
kpmcore 24.08.1-1
kpty 6.6.0-1
kpty5 5.116.0-1
kpublictransport 24.08.1-1
kqtquickcharts 24.08.1-1
kquickcharts 6.6.0-1
kquickimageeditor 0.4.0-1
krb5 1.21.3-1
krdc 24.08.1-1
krdp 6.1.5-1
krecorder 24.08.1-1
kreversi 24.08.1-1
krfb 24.08.1-1
kruler 24.08.1-1
krunner 6.6.0-1
ksanecore 24.08.1-1
ksanecore5 24.08.1-1
kscreen 6.1.5-1
kscreenlocker 6.1.5-1
